date,total_auto_sales,cpi_inflation,repo_rate,auto_sales_yoy,signal_demand,real_rate,signal_rates,alpha_signal,proxy_return,market_proxy_return,auto_sales_yoy_lag1,real_rate_lag1,auto_sales_yoy_lag2,real_rate_lag2,auto_sales_yoy_lag3,real_rate_lag3,rolling_mean,rolling_std
2018-12-01,268643,2.11,6.5,0.08822707331596868,0.6704869282229198,4.390000000000001,-2.156316464763303,-0.4602344289715693,0.022098113578301708,0.06765558504497152,,4.17,,3.12,,2.8,,
2019-01-01,253347,1.97,6.5,-0.03348046527775128,0.28838133524084403,4.53,-2.2506204114322226,-0.7272193634283826,-0.0856640122328899,-0.01755607986738604,0.08822707331596868,4.390000000000001,,4.17,,3.12,,
2019-02-01,253378,2.57,6.5,-0.01591986857078498,0.34351351764602395,3.93,-1.8464606399939942,-0.5324761454099833,-0.07624589162565165,-0.009759278385842618,-0.03348046527775128,4.53,0.08822707331596868,4.390000000000001,,4.17,,
2019-03-01,254249,2.86,6.5,-0.002765204703593538,0.38481310102049565,3.64,-1.651116750465517,-0.4295588395739095,-0.018114376462048637,-0.009374051024740693,-0.01591986857078498,3.93,-0.03348046527775128,4.53,0.08822707331596868,4.390000000000001,,
2019-04-01,258264,2.99,6.5,0.055961926100982495,0.56918923251985,3.51,-1.563548799987234,-0.28390598048298366,-0.04064155601672119,0.09623720330901822,-0.002765204703593538,3.64,-0.01591986857078498,3.93,-0.03348046527775128,4.53,,
2019-05-01,264938,3.05,6.5,0.07971814799268073,0.6437728232967775,3.45,-1.5231328228434113,-0.2229894351592981,0.025712366629763693,0.09547144355895146,0.055961926100982495,3.51,-0.002765204703593538,3.64,-0.01591986857078498,3.93,,
2019-06-01,237010,3.18,6.5,0.08068303581606373,0.6468021264786099,3.32,-1.4355648723651284,-0.18614467305888543,-0.03540120377606055,0.04816215591515509,0.07971814799268073,3.45,0.055961926100982495,3.51,-0.002765204703593538,3.64,,
2019-07-01,234417,3.15,6.5,-0.017679645988031956,0.337988627394334,3.35,-1.45577286093704,-0.37951596793821557,-0.060615185066764575,0.02344745596699424,0.08068303581606373,3.32,0.07971814799268073,3.45,0.055961926100982495,3.51,,
2019-08-01,242885,3.28,6.5,0.04110229065221871,0.5225368239652632,3.22,-1.3682049104587573,-0.233759869804345,0.0832824384460777,0.03749474303584969,-0.017679645988031956,3.35,0.08068303581606373,3.32,0.07971814799268073,3.45,,
2019-09-01,258108,3.99,6.5,-0.01792862034852749,0.3372069626202886,2.51,-0.8899491809235198,-0.1536554947972348,-0.001288815024326784,0.06762928112603196,0.04110229065221871,3.22,-0.017679645988031956,3.35,0.08068303581606373,3.32,,
2019-10-01,315665,4.62,6.5,0.06966649271787095,0.6122152571541098,1.88,-0.46558142091338,0.18109658592711386,0.013376410234396192,-0.02943335473609565,-0.01792862034852749,2.51,0.04110229065221871,3.22,-0.017679645988031956,3.35,,
2019-11-01,319099,5.54,6.5,-0.019951166326264258,0.33085710016241376,0.96,0.15413022862523698,0.26016635154754303,-0.061237409310672834,0.05503316179128414,0.06966649271787095,1.88,-0.01792862034852749,2.51,0.04110229065221871,3.22,-0.2640164384291792,0.2796108516576815
2019-12-01,269212,7.35,6.5,0.0021180525827957375,0.4001442788806327,-0.8499999999999996,1.3733455391305593,0.7894247829806034,-0.017219136226259132,-0.0421552267099605,-0.019951166326264258,0.96,0.06966649271787095,1.88,-0.01792862034852749,2.51,-0.15987817076649816,0.4046439595118275
2020-01-01,279021,7.59,6.5,0.10133926985517894,0.7116531837548592,-1.0899999999999999,1.535009447705851,1.0409956893352559,0.015546129485493304,-0.017510060098136413,0.0021180525827957375,-0.8499999999999996,-0.019951166326264258,0.96,0.06966649271787095,1.88,-0.012526916369528277,0.49182197135473693
2020-02-01,263999,6.58,6.5,0.04191760926362975,0.5250965487373047,-0.08000000000000007,0.8546738324514997,0.6569274622229827,-0.04754967887111514,0.04428420783201205,0.10133926985517894,-1.0899999999999999,0.0021180525827957375,-0.8499999999999996,-0.019951166326264258,0.96,0.0865900509332189,0.497330076264451
2020-03-01,273453,5.84,6.5,0.07553225381417428,0.6306310442770106,0.6600000000000001,0.3562101143443511,0.5208626723039468,0.0287849009172836,-0.04914722800903876,0.04191760926362975,-0.08000000000000007,0.10133926985517894,-1.0899999999999999,0.0021180525827957375,-0.8499999999999996,0.16579184358970692,0.48313532804999126
2020-04-01,179132,7.22,6.5,-0.3063996530681783,-0.5684591636452997,-0.7199999999999998,1.2857775886522766,0.17323553727373092,-0.02003193449594025,0.0023972511924533566,0.07553225381417428,0.6600000000000001,0.04191760926362975,-0.08000000000000007,0.10133926985517894,-1.0899999999999999,0.20388697006943313,0.4620143257294452
